flags,instruction,category,intent,response
BM,problem paying with my credit card,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,please the card was declined at checkout!,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,please sign me up for an account please,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
B,"i need help, track order {{Order Number}}",ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BL,hi i want to check the status of order {{Order Number}} asap,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BM,hey there cancel my recent purchase?,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,"hello, change my email preferences?",SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
B,hi how much is express delivery,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BM,"i need help, my payment failed asap",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BQ,hi how much is express delivery asap,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BM,hi how do i get my money back,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,please unsubscribe me from the newsletter,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
B,"hello, how much is express delivery!",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
B,please change my email preferences thanks,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
B,hi delivery times to my area!,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
B,"hello, do you deliver to {{Delivery City}}?",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
B,"i need help, has my parcel shipped yet please",ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BQ,"hello, registration help?",ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BM,"i need help, unsubscribe me from the newsletter asap",SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BL,i want to check the status of order {{Order Number}}?,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BM,hi unsubscribe me from the newsletter thanks,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BM,hey there i want to check the status of order {{Order Number}},ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BL,please what do i need to open an account thanks,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BQ,hi unsubscribe me from the newsletter!,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BM,"hello, stop sending me marketing emails",SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
B,hey there i need to cancel order {{Order Number}}?,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,cannot log into my account,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,please stop sending me marketing emails please,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BL,"i need help, can you tell me where my package is thanks",ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,please problem paying with my credit card please,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,hey there how do i subscribe to your newsletter please,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BQ,hi has my parcel shipped yet please,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BL,hey there where is my order {{Order Number}}?,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,change my email preferences please,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BL,please status of my delivery please thanks,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BQ,please password reset email not arriving please,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,please i want to check the status of order {{Order Number}} please,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BM,cancel my recent purchase please,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BM,hey there please cancel the purchase i just made?,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BM,"hello, registration help",ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BM,track order {{Order Number}}!,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BL,hey there where is my order {{Order Number}} thanks,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,please i need to recover access to my account?,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,hey there i was charged but never received the item thanks,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BM,"hello, why is my payment not going through please",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,hi unsubscribe me from the newsletter,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BL,"i need help, cannot log into my account please",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BQ,"hello, i want to open an account!",ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BL,hey there unsubscribe me from the newsletter?,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BM,hi how much is express delivery asap,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BM,hey there status of my delivery please?,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BL,my payment failed!,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,hi password reset email not arriving asap,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,how do i cancel my order!,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,"i need help, locked out of my profile?",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BM,please where is my order {{Order Number}}!,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,"i need help, i forgot my password asap",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,"hello, why is my payment not going through asap",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BQ,"i need help, when will my refund of {{Refund Amount}} arrive thanks",REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,hi problem paying with my credit card?,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BQ,i want to call off order {{Order Number}}?,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,hey there can you tell me where my package is,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,"hello, when will my order arrive!",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BL,can you tell me where my package is please,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BL,"i need help, double charge on my account asap",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BQ,hi when will my refund of {{Refund Amount}} arrive asap,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,please how do i get my money back asap,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
B,registration help!,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BL,"i need help, why is my payment not going through",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,hey there do you deliver to {{Delivery City}}!,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BL,hey there i was charged twice for order {{Order Number}}?,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,please cancel my recent purchase,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BL,what do i need to open an account,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BQ,hi track order {{Order Number}} please,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BQ,"i need help, refund status please?",REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BL,hey there what do i need to open an account?,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BQ,hey there my payment failed thanks,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,hey there change my email preferences,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
B,stop sending me marketing emails please,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BQ,"i need help, when will my order arrive!",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BL,"hello, how do i cancel my order asap",ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BL,delivery times to my area!,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
B,"hello, help me create a new profile please",ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BQ,"hello, the card was declined at checkout!",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,hi refund status please!,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BL,hi what do i need to open an account!,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BM,please i was charged but never received the item!,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,the card was declined at checkout thanks,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,"hello, i forgot my password thanks",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,"hello, sign me up for an account asap",ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BL,please refund status please?,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BL,"hello, requesting reimbursement for my purchase",REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BM,"hello, double charge on my account please",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,"hello, can i stop my order from shipping!",ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BM,hey there the card was declined at checkout!,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
B,please registration help thanks,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
B,please i was charged twice for order {{Order Number}} please,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
B,i forgot my password?,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,please how do i reset my password thanks,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,please cannot log into my account,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,hey there how do i subscribe to your newsletter asap,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BM,hey there i was charged twice for order {{Order Number}}?,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BQ,please i need to recover access to my account thanks,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BM,hey there the card was declined at checkout please,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BQ,the card was declined at checkout!,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BQ,help me create a new profile please,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BL,please why is my payment not going through,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
B,hi how do i subscribe to your newsletter asap,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BQ,hi help me create a new profile asap,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BL,hey there my payment failed asap,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,where is my order {{Order Number}},ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BL,please how do i subscribe to your newsletter please,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BL,hi i was charged but never received the item,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
B,hey there i want to opt out of emails thanks,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BL,"hello, is next day shipping available",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BM,hey there status of my delivery please asap,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BM,"hello, why is my payment not going through asap",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,hey there can you tell me where my package is asap,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BL,when will my order arrive,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BM,"i need help, cannot log into my account asap",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,please i want to call off order {{Order Number}} please,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,when will my refund of {{Refund Amount}} arrive please,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,please double charge on my account please,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,"i need help, registration help?",ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
B,please how do i cancel my order?,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,please how do i subscribe to your newsletter thanks,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BM,hi help me create a new profile,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
B,"i need help, i want a refund for order {{Order Number}} asap",REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
B,i forgot my password asap,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
B,please password reset email not arriving,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,hi when will my refund of {{Refund Amount}} arrive,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,hi my payment failed thanks,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,"hello, cancel my recent purchase please",ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BL,how do i get my money back,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BM,when will my order arrive asap,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
B,"i need help, how do i get my money back thanks",REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BL,"hello, i need to recover access to my account thanks",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BM,"i need help, i was charged twice for order {{Order Number}}?",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BM,hi my payment failed?,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,please double charge on my account,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,hi i forgot my password,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,"hello, how do i reset my password!",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BQ,i want to call off order {{Order Number}}!,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,"i need help, cannot log into my account!",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BM,"hello, when will my order arrive!",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BL,hey there i was charged but never received the item?,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
B,"hello, my payment failed please",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,hey there how do i get my money back?,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BM,hi problem paying with my credit card please,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
B,hi i want to check the status of order {{Order Number}}!,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BQ,"i need help, can you tell me where my package is please",ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,i want a refund for order {{Order Number}}?,REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BL,"i need help, i need to cancel order {{Order Number}} thanks",ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BM,"i need help, password reset email not arriving?",ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BQ,hey there locked out of my profile?,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BQ,"hello, how much is express delivery?",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BM,"hello, status of my delivery please?",ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BQ,"hello, do you deliver to {{Delivery City}} thanks",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BQ,hey there password reset email not arriving!,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BM,hi when will my order arrive asap,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
B,please i want to call off order {{Order Number}} thanks,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BM,hey there i want to opt out of emails,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BL,"i need help, cancel my recent purchase!",ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,please unsubscribe me from the newsletter?,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BM,why is my payment not going through please,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
B,status of my delivery please please,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BQ,hey there password reset email not arriving thanks,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BQ,hey there do you deliver to {{Delivery City}}!,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BL,hey there do you deliver to {{Delivery City}} please,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
B,"i need help, refund status please",REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BM,hi locked out of my profile please,ACCOUNT,recover_password,Use Forgot Password on the sign-in page; the reset link is valid for 30 minutes and may land in spam.
BL,"i need help, how do i get my money back!",REFUND,get_refund,Refunds are issued to the original payment method within 5-7 business days of the returned item being received.
BQ,hey there sign me up for an account please,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
BQ,i want to check the status of order {{Order Number}} asap,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BM,is next day shipping available?,DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BQ,hey there where is my order {{Order Number}} thanks,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
B,hi cancel my recent purchase,ORDER,cancel_order,Orders can be cancelled from Orders > Cancel within 60 minutes of purchase; after that contact support for a return.
BQ,please stop sending me marketing emails,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
BQ,"i need help, what shipping options do you offer",DELIVERY,delivery_options,"Standard delivery is 3-5 business days, express is next business day; options and costs are shown at checkout."
BQ,double charge on my account asap,PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
BL,"hello, i want to open an account please",ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
B,"i need help, double charge on my account",PAYMENT,payment_issue,Failed payments are usually an issuer block or an address mismatch; retry with a different method or contact your bank.
B,hey there how do i register,ACCOUNT,create_account,Create an account from Sign Up with an email address; you will receive a verification link to activate it.
B,please where is my order {{Order Number}}?,ORDER,track_order,You can track your order in the Orders section of your account; a live tracking link is also emailed at dispatch.
BM,stop sending me marketing emails,SUBSCRIPTION,manage_newsletter,"Email preferences live under Account > Communications, and every newsletter carries a one-click unsubscribe link."
