flags,instruction,category,intent,response
BI,can you give me information about canceling an order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,problems with canceling orders,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not know how I can cancel the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BP,I would like to cancel the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help canceling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,how could I get information about cancelling an order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help cancelling an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I have problems with cancelling orders,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have a question about canceling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,problem with cancelling orders,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,problems with cancelling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,how could I cancel an order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIMP,where could I get information about order cancellations?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I can't pay for the order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need assistance cancelling an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BEM,I am trying to find information about order cancelations,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want help cancelling an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help with cancelling an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,where to cancel an order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,is it possible to cancel my order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIM,where can I get information about canceling orders?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance cancelling an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance canceling the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want to cancel the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not know how I can cancel the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help me to cancel an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BP,I don't know how I could cancel the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,is it possible to cancel the order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIMP,would you give me information about canceling orders?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have a problem with canceling the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help to cancel the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help to cancel the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I can't pay for the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BP,I would like to cancel my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,where can I cancel my order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help me canceling my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,question about canceling my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,question about canceling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,problem with canceling the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,could you help me cancelling an order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,question about canceling the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I want to know more about order cancelations,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,could you help me to cancel an order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,could you help me cancel the last order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,where do I cancel the last order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I try to cancel the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help me cancelling an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help me canceling the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,where can I cancel the order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I don't know how to cancel an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BP,I would like to cancel an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not know how I can cancel an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want assistance to cancel the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help with canceling an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I don't know how to cancel my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I don't know how to cancel the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,can you help me to cancel the order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help to cancel my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,how do I cancel my order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,how do I cancel the last order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I can't pay for my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help me cancelling the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIM,how can I find information about cancelling orders?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need assistance with canceling the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have to cancel my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,cancel an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have a question about cancelling my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,problem with canceling the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want assistance to cancel my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,can you help me to cancel my order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BK,cancelling order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I want information about canceling orders,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help with canceling the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help with canceling the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help with cancelling my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,where could I cancel the order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,find information about cancelling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have got to cancel the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need assistance canceling the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,question about canceling orders,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BEP,I do not know how I could cancel the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I have problems with canceling my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help with cancelling the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need assistance with canceling the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,problem with cancelling an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I try to cancel the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BMP,I would like to know about order cancellations,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,question about canceling my orders,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BEP,I do not know how I could cancel my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,how do I cancel the last order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BP,I would like information about canceling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance cancelling my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,how to cancel the last order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I am trying to find information about cancelling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,can you help me to cancel the last order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need assistance cancelling an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,how could I cancel the last order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BEM,I am looking for information about order cancelations,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I have a problem with cancelling orders,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIM,can you give me information about cancelling orders?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need assistance canceling the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,how can I cancel the last order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help me canceling an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want assistance cancelling an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have a question about canceling the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not know how to cancel the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,would it be possible to cancel the last order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want help to cancel the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help me cancel the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,could you help me cancelling the order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need assistance with canceling my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,can you help me cancel the last order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not want to pay for the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,is it possible to cancel the last order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help with cancelling the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance cancelling the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help to cancel an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have a problem with cancelling my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I have problems with canceling the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I don't know how to cancel an order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I am trying to cancel the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help cancelling my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I don't know how I can cancel the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want help canceling the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BP,I don't know how I could cancel an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,will you give me information about canceling an order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance with cancelling the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need to cancel my order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not want to pay for the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,how can I cancel an order?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance canceling my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BM,I have problems with cancelling the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I can't pay for the order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIMP,could you give me information about cancelling orders?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BE,I do not know how to cancel an order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,where do I cancel the order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have a problem with canceling the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help canceling the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I need help with canceling an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,help with cancelling the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want help to cancel my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BEP,I do not know how I could cancel the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I want assistance to cancel the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,where can I cancel the last order I made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIM,can you tell me about order cancellations?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BIP,could you help me canceling an order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance cancelling the last order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BP,I would like to cancel the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,question about cancelling the last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,problem with canceling my last order,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance cancelling an order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
BI,how can I cancel an order I have made?,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,I have a problem with cancelling the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,problem with canceling the last order I have made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
B,assistance canceling the order I made,ORDER,cancel_order,"You can cancel an order from Orders > Cancel within 60 minutes of purchase. After that the order has entered fulfilment, so please request a return once it arrives."
